index,zone,demand_factor,slack,voltage,lat,lon,name
bus005,R1,0.0,False,138,42.71825282,84.65098707,bus005
bus009,R1,0.0,False,138,38.27711505,84.03712739,bus009
bus030,R1,0.0,False,138,39.93980431,90.93877676,bus030
bus071,R1,0.0,False,138,34.0841111,98.22757332,bus071
bus065,R2,0.0,False,138,35.11688344,105.8991179,bus065
bus066,R2,0.021186707,False,138,35.96209525,106.1204074,bus066
bus069,R2,0.0,False,138,34.36103491,102.4037275,bus069
bus099,R3,0.0,False,138,28.62869664,108.2089504,bus099
bus080,R3,0.070622359,False,138,30.39104606,107.0449085,bus080
bus059,R2,0.150479947,False,138,36.39079585,114.9837709,bus059
bus049,R2,0.047262655,False,138,37.46230352,105.1983174,bus049
bus054,R2,0.061387126,False,138,40.96302831,107.5081635,bus054
bus061,R2,0.0,False,138,33.65470767,114.2542472,bus061
bus060,R2,0.042373415,False,138,34.33506454,114.4904086,bus060
bus078,R3,0.038570673,False,138,31.7544601,104.8385856,bus078
bus046,R2,0.015210969,False,138,37.25442848,99.89985045,bus046
bus056,R2,0.045632908,False,138,40.36802744,110.5002194,bus056
bus036,R2,0.017878321,False,138,39.44107093,95.87818911,bus036
bus062,R2,0.041830166,False,138,32.58761476,113.105373,bus062
bus076,R3,0.036940927,False,138,31.0879566,102.7035661,bus076
bus055,R2,0.034224681,False,138,40.58492593,112.2449631,bus055
bus077,R3,0.033138183,False,138,30.88975885,104.0292007,bus077
bus045,R2,0.028792192,False,138,39.24180652,101.6838507,bus045
bus034,R2,0.034023679,False,138,40.85058771,96.25597404,bus034
bus079,R3,0.021186707,False,138,31.63659277,105.7689723,bus079
bus041,R2,0.020100209,False,138,42.2350339,100.9192127,bus041
bus035,R2,0.01903001,False,138,39.51799098,95.06621297,bus035
bus047,R2,0.018470462,False,138,37.60640653,102.2486638,bus047
bus098,R3,0.018470462,False,138,29.14663672,107.6866957,bus098
bus118,R3,0.017927214,False,138,31.22486106,101.7336857,bus118
bus116,R2,0.0,False,138,32.94818221,102.111188,bus116
bus067,R2,0.015210969,False,138,35.46552488,108.8072589,bus067
bus039,R2,0.014667721,False,138,41.95341518,99.00703737,bus039
bus033,R2,0.013266139,False,138,41.5971971,94.69534914,bus033
bus053,R2,0.012494725,False,138,41.31132478,105.5644748,bus053
bus048,R2,0.010864979,False,138,38.26891983,103.4839353,bus048
bus042,R2,0.020100209,False,138,41.87121489,103.4253339,bus042
bus043,R2,0.009778481,False,138,39.55892262,99.28747582,bus043
bus052,R2,0.009778481,False,138,40.20626063,105.2365257,bus052
bus040,R2,0.010749169,False,138,42.38601262,99.76825394,bus040
bus050,R2,0.009235232,False,138,37.89548053,106.5668338,bus050
bus051,R2,0.009235232,False,138,38.30282148,107.0442552,bus051
bus044,R2,0.008691983,False,138,40.07304535,101.7912122,bus044
bus097,R3,0.008148735,False,138,29.42942413,105.8465857,bus097
bus057,R2,0.006518986,False,138,39.1994094,108.8148367,bus057
bus058,R2,0.006518986,False,138,39.3903757,108.5589908,bus058
bus037,R2,0.0,False,138,41.12471466,97.66026464,bus037
bus038,R2,0.0,False,138,40.46921088,97.53375569,bus038
bus063,R2,0.0,False,138,36.34611245,114.0078041,bus063
bus064,R2,0.0,False,138,33.95170788,113.1292963,bus064
bus068,R2,0.0,False,138,34.18092487,103.6083103,bus068
bus081,R3,0.0,False,138,30.87684002,107.4904689,bus081
bus087,R3,0.0,False,138,24.7792729,99.20366308,bus087
bus100,R3,0.049756089,False,138,27.48758825,108.8571696,bus100
bus092,R3,0.087409347,False,138,25.92922325,105.4022886,bus092
bus089,R3,0.0,False,138,26.38347858,103.0803417,bus089
bus090,R3,0.10489122,False,138,24.73232991,103.966817,bus090
bus111,R3,0.0,False,138,23.68055657,111.8767139,bus111
bus112,R3,0.033618981,False,138,23.2085043,113.1651926,bus112
bus105,R3,0.041687535,False,138,26.33710137,112.6983975,bus105
bus104,R3,0.051100848,False,138,26.56876613,111.5869693,bus104
bus082,R3,0.072616998,False,138,29.20518013,102.9552345,bus082
bus088,R3,0.064548444,False,138,26.75891234,101.6360325,bus088
bus106,R3,0.057824649,False,138,26.90305968,113.9455993,bus106
bus095,R3,0.05647989,False,138,28.14179991,105.9321419,bus095
bus096,R3,0.051100848,False,138,28.59427468,104.6583446,bus096
bus091,R3,0.0,False,138,25.30763976,104.8522141,bus091
bus110,R3,0.052445607,False,138,24.40044141,112.2805639,bus110
bus094,R3,0.040342776,False,138,27.86267832,106.7526168,bus094
bus101,R3,0.029584704,False,138,25.75618968,107.7188404,bus101
bus086,R3,0.028239945,False,138,26.19440651,100.1957151,bus086
bus083,R3,0.026895186,False,138,28.23446049,101.766162,bus083
bus085,R3,0.032274222,False,138,27.21854635,100.8330613,bus085
bus107,R3,0.037152408,False,138,25.80439677,114.9574097,bus107
bus103,R3,0.030929463,False,138,25.26415144,110.2161685,bus103
bus093,R3,0.016137108,False,138,26.80486174,105.8927541,bus093
bus084,R3,0.014792349,False,138,27.76521876,101.2835131,bus084
bus109,R3,0.010758072,False,138,25.03051853,112.4380306,bus109
bus102,R3,0.006723795,False,138,25.74809625,106.3081179,bus102
bus108,R3,0.002689518,False,138,25.85841148,112.6505064,bus108
