index,node,g_max,eta,vom,fuel,mc_el,plant_type
Biomass 49,bus103,1.6,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 50,bus103,0.9,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 51,bus103,0.9,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 52,bus103,3.0,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 53,bus034,3.0,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 54,bus034,3.0,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 55,bus034,3.0,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 56,bus012,4.6,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 57,bus012,3.0,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 58,bus012,3.0,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 59,bus012,4.6,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 60,bus012,3.0,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 61,bus103,1.88,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 62,bus034,7.5,0.25281253950195925,1.91,Biomass,32.40000000000001,conventional
CC NG 01,bus012,41.5,0.5259622874520651,1.08,Natural gas,35.040600000000005,conventional
CC NG 03,bus012,126.98,0.6629119993933029,1.08,Natural gas,27.801630000000003,conventional
CC NG 04,bus012,320.0,0.5282890714963502,1.08,Natural gas,34.886268,conventional
CC NG 05,bus074,100.0,0.635577636567822,1.08,Natural gas,28.997298000000008,conventional
CC NG 06,bus012,13.5,0.3545407999082164,1.08,Natural gas,51.982830000000014,conventional
CC NG 07,bus103,55.1,0.5259622874520651,1.08,Natural gas,35.040600000000005,conventional
CC NG 08,bus112,14.3,0.47617622491631617,1.08,Natural gas,38.70423000000001,conventional
CC NG 09,bus107,33.0,0.47617622491631617,1.08,Natural gas,38.70423000000001,conventional
CC NG 10,bus036,71.51,0.3931640543074056,1.081302047,Natural gas,46.87619310000001,conventional
CC NG 11,bus066,596.4,0.6079151303790108,1.08,Natural gas,30.31678800000001,conventional
CC NG 12,bus046,150.0,0.3846691436077005,1.08,Natural gas,47.911392000000006,conventional
CC NG 13,bus012,57.3,0.5259622874520651,1.08,Natural gas,35.040600000000005,conventional
CC NG 14,bus049,164.75,0.46631570161489744,1.08,Natural gas,39.522654,conventional
CC NG 15,bus034,27.0,0.3277981985128845,1.08,Natural gas,56.22372,conventional
CC NG 16,bus012,943.5,0.6345637280771319,1.08,Natural gas,29.043630000000007,conventional
CC NG 17,bus025,154.4,0.5633766062529011,1.08,Natural gas,32.71352400000001,conventional
CC NG 18,bus113,619.0,0.6281553973033892,1.08,Natural gas,29.339928000000004,conventional
CC NG 19,bus012,140.0,0.6848153978057719,1.08,Natural gas,26.912412000000007,conventional
CC NG 20,bus025,25.8,0.5259622874520651,1.08,Natural gas,35.040600000000005,conventional
CC NG 21,bus026,315.0,0.4227833445989592,1.08,Natural gas,43.59214800000001,conventional
CC NG 22,bus026,677.8,0.7120380542756988,1.08,Natural gas,25.883496000000004,conventional
CC NG 23,bus010,636.0,0.6270843499938357,1.08,Natural gas,29.39004000000001,conventional
CC NG 24,bus025,672.3,0.539111490029815,1.08,Natural gas,34.185942000000004,conventional
CC NG 25,bus010,32.49,0.5259622874520651,1.08,Natural gas,35.040600000000005,conventional
CC NG 26,bus010,655.0,0.4740235115661736,1.08,Natural gas,38.88000000000001,conventional
CC NG 27,bus004,34.5,0.5259622874520651,1.08,Natural gas,35.040600000000005,conventional
CC NG 28,bus100,181.5,0.48772450580851107,1.081302047,Natural gas,37.78779600000001,conventional
CC NG 29,bus107,49.9,0.5259622874520651,1.08,Natural gas,35.040600000000005,conventional
CC NG 31,bus089,336.5,0.6087598138702258,1.08,Natural gas,30.274722000000008,conventional
CC NG 32,bus090,38.55,0.5259622874520651,1.08,Natural gas,35.040600000000005,conventional
CC NG 33,bus090,24.88,0.3545407999082164,1.08,Natural gas,51.982830000000014,conventional
CC NG 34,bus087,688.3,0.6440950097334994,1.08,Natural gas,28.613844,conventional
CC NG 35,bus089,595.0,0.6311302350304381,1.08,Natural gas,29.201634000000006,conventional
CC NG 36,bus087,668.0,0.6306567506151315,1.08,Natural gas,29.223558000000008,conventional
CC NG 37,bus065,636.0,0.6567785201425663,1.08,Natural gas,28.061262000000006,conventional
CC NG 38,bus049,98.2,0.6153385804853971,1.08,Natural gas,29.951046000000005,conventional
CC NG 39,bus018,247.0,0.5259622874520651,1.08,Natural gas,35.040600000000005,conventional
CC NG 40,bus107,751.1,0.6051778159420929,1.08,Natural gas,30.45391560000001,conventional
CT NG 01,bus006,25.4,0.3801273135322811,0.7,Natural gas,48.48384600000001,conventional
CT NG 02,bus018,25.4,0.380532491978023,0.7,Natural gas,48.43222200000001,conventional
CT NG 03,bus004,24.75,0.3801273135322811,0.7,Natural gas,48.48384600000001,conventional
CT NG 04,bus004,24.75,0.3801273135322811,0.7,Natural gas,48.48384600000001,conventional
CT NG 05,bus004,49.9,0.33529909806152053,0.7,Natural gas,54.965952000000016,conventional
CT NG 06,bus006,49.9,0.33529909806152053,0.7,Natural gas,54.965952000000016,conventional
CT NG 07,bus006,49.9,0.33529909806152053,0.7,Natural gas,54.965952000000016,conventional
CT NG 08,bus008,50.0,0.3422010234315512,0.7,Natural gas,53.857332000000014,conventional
CT NG 09,bus008,50.0,0.3890638539300534,0.7,Natural gas,47.370204000000015,conventional
CT NG 10,bus008,50.0,0.3890638539300534,0.7,Natural gas,47.370204000000015,conventional
CT NG 11,bus010,50.0,0.3890638539300534,0.7,Natural gas,47.370204000000015,conventional
CT NG 12,bus010,50.0,0.3890638539300534,0.7,Natural gas,47.370204000000015,conventional
CT NG 13,bus006,21.6,0.3422010234315512,0.7,Natural gas,53.857332000000014,conventional
CT NG 14,bus006,21.6,0.3422010234315512,0.7,Natural gas,53.857332000000014,conventional
CT NG 15,bus025,21.6,0.3422010234315512,0.7,Natural gas,53.857332000000014,conventional
CT NG 16,bus025,49.9,0.3801273135322811,0.7,Natural gas,48.48384600000001,conventional
CT NG 17,bus004,6.9,0.44603540913648315,0.7,Natural gas,41.319666000000005,conventional
CT NG 18,bus004,3.9,0.44603540913648315,0.7,Natural gas,41.319666000000005,conventional
CT NG 19,bus018,3.9,0.44603540913648315,0.7,Natural gas,41.319666000000005,conventional
CT NG 20,bus025,6.9,0.44603540913648315,0.7,Natural gas,41.319666000000005,conventional
CT NG 21,bus085,100.0,0.6084624433341208,0.6996660229999999,Natural gas,30.289518000000005,conventional
CT NG 22,bus091,100.0,0.6084624433341208,0.7,Natural gas,30.289518000000005,conventional
CT NG 23,bus091,100.0,0.6084624433341208,0.7,Natural gas,30.289518000000005,conventional
CT NG 24,bus100,100.0,0.6084624433341208,0.7,Natural gas,30.289518000000005,conventional
CT NG 25,bus100,100.0,0.6084624433341208,0.7,Natural gas,30.289518000000005,conventional
CT NG 26,bus100,100.0,0.6084624433341208,0.7,Natural gas,30.289518000000005,conventional
CT NG 27,bus107,1.05,0.44603540913648315,0.7,Natural gas,41.319666000000005,conventional
CT NG 28,bus100,44.02,0.3262066105247692,0.7,Natural gas,56.49804000000002,conventional
CT NG 29,bus107,0.6,0.44603540913648315,0.7,Natural gas,41.319666000000005,conventional
CT NG 30,bus090,18.0,0.3277981985128845,0.7,Natural gas,56.22372,conventional
CT NG 31,bus107,1.54,0.44603540913648315,0.7,Natural gas,41.319666000000005,conventional
CT NG 32,bus107,1.6,0.44603540913648315,0.7,Natural gas,41.319666000000005,conventional
CT NG 33,bus107,1.3,0.44603540913648315,0.7,Natural gas,41.319666000000005,conventional
CT NG 34,bus100,100.0,0.6120787160894849,0.6,Natural gas,30.110562,conventional
CT NG 35,bus100,100.0,0.6120787160894849,0.6,Natural gas,30.110562,conventional
CT NG 36,bus100,100.0,0.6120787160894849,0.6,Natural gas,30.110562,conventional
CT NG 37,bus107,1.3,0.44603540913648315,0.7,Natural gas,41.319666000000005,conventional
CT NG 38,bus090,9.5,0.44603540913648315,0.7,Natural gas,41.319666000000005,conventional
CT NG 39,bus112,1.3,0.44603540913648315,0.7,Natural gas,41.319666000000005,conventional
CT NG 40,bus112,3.1,0.44603540913648315,0.7,Natural gas,41.319666000000005,conventional
CT NG 41,bus040,54.0,0.449144641309631,0.7,Natural gas,41.03362800000001,conventional
CT NG 42,bus036,82.4,0.3258780102716423,0.7,Natural gas,56.55501,conventional
CT NG 43,bus062,25.0,0.36896007922783086,0.7,Natural gas,49.95129600000001,conventional
CT NG 44,bus055,60.35,0.3801273135322811,0.7,Natural gas,48.48384600000001,conventional
CT NG 45,bus055,60.35,0.3801273135322811,0.7,Natural gas,48.48384600000001,conventional
CT NG 46,bus026,180.0,0.6134428930889456,0.6,Natural gas,30.043602000000003,conventional
CT NG 47,bus026,180.0,0.6134428930889456,0.6,Natural gas,30.043602000000003,conventional
CT NG 48,bus026,180.0,0.6134428930889456,0.6,Natural gas,30.043602000000003,conventional
CT NG 49,bus026,180.0,0.6134428930889456,0.6,Natural gas,30.043602000000003,conventional
CT NG 50,bus111,49.96,0.3817732968010902,0.6,Natural gas,48.27481200000001,conventional
CT NG 51,bus085,8.57,0.6097854713733161,0.6,Natural gas,30.223800000000008,conventional
CT NG 52,bus085,10.71,0.6097854713733161,0.6,Natural gas,30.223800000000008,conventional
CT NG 53,bus085,10.71,0.6097854713733161,0.6,Natural gas,30.223800000000008,conventional
CT NG 54,bus111,49.9,0.3684275658492154,0.6,Natural gas,50.023494000000014,conventional
CT NG 55,bus091,15.0,0.33056321032517627,0.6,Natural gas,55.753434000000006,conventional
CT NG 56,bus111,46.9,0.3832080045806232,0.6,Natural gas,48.094074000000006,conventional
CT NG 66,bus111,45.0,0.3801273135322811,0.6,Natural gas,48.48384600000001,conventional
CT NG 67,bus111,45.0,0.3801273135322811,0.6,Natural gas,48.48384600000001,conventional
CT NG 68,bus111,46.7,0.380643260922703,0.6,Natural gas,48.41812800000001,conventional
CT NG 69,bus111,49.5,0.44477000027059804,0.6,Natural gas,41.43722400000001,conventional
CT NG 70,bus111,44.02,0.3819100017318091,0.6,Natural gas,48.257532000000005,conventional
CT NG 71,bus111,44.02,0.3819100017318091,0.6,Natural gas,48.257532000000005,conventional
CT NG 72,bus112,50.0,0.4445180111874782,0.6,Natural gas,41.460714,conventional
CT NG 73,bus112,50.0,0.4445180111874782,0.6,Natural gas,41.460714,conventional
CT NG 74,bus042,42.0,0.4761802111056396,0.6,Natural gas,38.70390600000001,conventional
CT NG 75,bus049,50.4,0.3254674914151765,0.6,Natural gas,56.62634400000001,conventional
CT Oil 01,bus026,74.5,0.3422010234315512,1.91,Oil,209.44518000000002,conventional
CT Oil 02,bus010,74.5,0.3422010234315512,1.91,Oil,209.44518000000002,conventional
CT Oil 03,bus010,74.5,0.3422010234315512,1.91,Oil,209.44518000000002,conventional
CT Oil 04,bus054,71.2,0.3277981985128845,1.91,Oil,218.6478,conventional
CT Oil 05,bus054,71.2,0.3277981985128845,1.91,Oil,218.6478,conventional
Geo 01,bus055,22.0,0.8304061516487713,2.92,Geothermal,0.0,conventional
Hydro 01,bus056,75.0,1.0,0.0,Water,0.0,ror
Hydro 02,bus056,75.0,1.0,0.0,Water,0.0,ror
Hydro 03,bus066,77.0,1.0,0.0,Water,0.0,ror
Hydro 04,bus076,77.0,1.0,0.0,Water,0.0,ror
Hydro 05,bus049,82.0,1.0,0.0,Water,0.0,ror
Hydro 06,bus059,1225.31,1.0,0.0,Water,0.0,ror
Hydro 07,bus059,1225.31,1.0,0.0,Water,0.0,ror
Hydro 08,bus061,1225.31,1.0,0.0,Water,0.0,ror
Hydro 09,bus061,1225.31,1.0,0.0,Water,0.0,ror
Hydro 10,bus062,1225.31,1.0,0.0,Water,0.0,ror
Hydro 11,bus076,810.77,1.0,0.0,Water,0.0,ror
Hydro 12,bus077,810.78,1.0,0.0,Water,0.0,ror
Hydro 13,bus059,46.7,1.0,0.0,Water,0.0,ror
Hydro 14,bus099,110.0,1.0,0.0,Water,0.0,ror
Hydro 15,bus080,140.0,1.0,0.0,Water,0.0,ror
Hydro 16,bus032,0.8,1.0,0.0,Water,0.0,ror_ts
Hydro 17,bus112,1.35,1.0,0.0,Water,0.0,ror_ts
Hydro 18,bus112,4.65,1.0,0.0,Water,0.0,ror_ts
Hydro 19,bus116,648.44,1.0,0.0,Water,0.0,ror_ts
Hydro 20,bus077,765.77,1.0,0.0,Water,0.0,ror_ts
Hydro 21,bus099,765.77,1.0,0.0,Water,0.0,ror_ts
Hydro 22,bus099,765.77,1.0,0.0,Water,0.0,ror_ts
Hydro 23,bus069,742.63,1.0,0.0,Water,0.0,ror_ts
Hydro 24,bus069,742.63,1.0,0.0,Water,0.0,ror_ts
Hydro 25,bus061,286.46,1.0,0.0,Water,0.0,ror_ts
Hydro 26,bus116,286.46,1.0,0.0,Water,0.0,ror_ts
Hydro 27,bus080,286.46,1.0,0.0,Water,0.0,ror_ts
Hydro 28,bus080,1116.06,1.0,0.0,Water,0.0,ror_ts
Hydro 29,bus080,1116.06,1.0,0.0,Water,0.0,ror_ts
Hydro 30,bus034,0.1,1.0,0.0,Water,0.0,ror_ts
Hydro 31,bus034,0.4,1.0,0.0,Water,0.0,ror_ts
Hydro 32,bus034,0.48,1.0,0.0,Water,0.0,ror_ts
Hydro 33,bus069,1112.39,1.0,0.0,Water,0.0,ror_ts
Hydro 34,bus069,1112.39,1.0,0.0,Water,0.0,ror_ts
Hydro 35,bus034,0.24,1.0,0.0,Water,0.0,ror_ts
Hydro 36,bus034,10.76,1.0,0.0,Water,0.0,ror
Hydro 37,bus036,47.1,1.0,0.0,Water,0.0,ror
Hydro 38,bus034,2.46,1.0,0.0,Water,0.0,ror
Hydro 39,bus034,2.46,1.0,0.0,Water,0.0,ror
Hydro 40,bus065,96.93,1.0,0.0,Water,0.0,ror_ts
Hydro 41,bus046,96.26,1.0,0.0,Water,0.0,ror_ts
Hydro 42,bus042,96.26,1.0,0.0,Water,0.0,ror_ts
Hydro 43,bus099,111.93,1.0,0.0,Water,0.0,ror_ts
ICE NG 01,bus112,3.25,0.43344136021249996,2.12,Natural gas,42.52024800000001,conventional
ICE NG 02,bus056,8.4,0.43077164521116584,1.91,Natural gas,42.78376800000001,conventional
ICE NG 03,bus065,8.4,0.43077164521116584,1.91,Natural gas,42.78376800000001,conventional
ICE NG 04,bus065,8.4,0.43077164521116584,1.91,Natural gas,42.78376800000001,conventional
ICE NG 05,bus077,8.4,0.43077164521116584,1.91,Natural gas,42.78376800000001,conventional
ICE NG 06,bus077,8.4,0.43077164521116584,1.91,Natural gas,42.78376800000001,conventional
ICE NG 07,bus034,8.4,0.43077164521116584,1.91,Natural gas,42.78376800000001,conventional
Solar 01,bus032,746.76,1.0,,Sun,0.0,solar
Solar 02,bus092,369.26,1.0,,Sun,0.0,solar
Solar 03,bus054,264.47,1.0,,Sun,0.0,solar
Solar 04,bus032,4.85,1.0,,Sun,0.0,solar
Solar 05,bus018,0.12,1.0,,Sun,0.0,solar
Solar 06,bus018,6.33,1.0,,Sun,0.0,solar
Solar 07,bus018,0.21,1.0,,Sun,0.0,solar
Solar 08,bus018,2.51,1.0,,Sun,0.0,solar
Solar 09,bus018,12.85,1.0,,Sun,0.0,solar
Solar 10,bus015,9.71,1.0,,Sun,0.0,solar
Solar 11,bus015,1.98,1.0,,Sun,0.0,solar
Solar 12,bus015,1.54,1.0,,Sun,0.0,solar
Solar 13,bus015,0.26,1.0,,Sun,0.0,solar
Solar 14,bus015,11.71,1.0,,Sun,0.0,solar
Solar 15,bus015,10.53,1.0,,Sun,0.0,solar
Solar 16,bus015,6.6,1.0,,Sun,0.0,solar
Solar 17,bus015,3.01,1.0,,Sun,0.0,solar
Solar 18,bus015,12.35,1.0,,Sun,0.0,solar
Solar 19,bus015,0.1,1.0,,Sun,0.0,solar
Solar 20,bus015,10.08,1.0,,Sun,0.0,solar
Solar 21,bus015,18.42,1.0,,Sun,0.0,solar
Solar 22,bus015,8.98,1.0,,Sun,0.0,solar
Solar 23,bus015,0.29,1.0,,Sun,0.0,solar
Solar 24,bus015,1.45,1.0,,Sun,0.0,solar
Solar 25,bus015,1.94,1.0,,Sun,0.0,solar
Solar 26,bus015,1.8,1.0,,Sun,0.0,solar
Solar 27,bus015,1.13,1.0,,Sun,0.0,solar
Solar 28,bus015,8.03,1.0,,Sun,0.0,solar
Solar 29,bus015,8.63,1.0,,Sun,0.0,solar
Solar 30,bus015,4.5,1.0,,Sun,0.0,solar
Solar 31,bus104,116.03,1.0,,Sun,0.0,solar
Solar 32,bus104,173.97,1.0,,Sun,0.0,solar
Solar 33,bus104,132.0,1.0,,Sun,0.0,solar
Solar 34,bus110,125.0,1.0,,Sun,0.0,solar
Solar 35,bus104,45.0,1.0,,Sun,0.0,solar
Solar 36,bus110,128.9,1.0,,Sun,0.0,solar
Solar 37,bus112,26.0,1.0,,Sun,0.0,solar
Solar 38,bus112,20.0,1.0,,Sun,0.0,solar
Solar 39,bus112,1.75,1.0,,Sun,0.0,solar
Solar 40,bus112,1.75,1.0,,Sun,0.0,solar
Solar 41,bus112,1.75,1.0,,Sun,0.0,solar
Solar 42,bus112,1.75,1.0,,Sun,0.0,solar
Solar 43,bus112,1.75,1.0,,Sun,0.0,solar
Solar 44,bus112,1.75,1.0,,Sun,0.0,solar
Solar 45,bus112,1.75,1.0,,Sun,0.0,solar
Solar 46,bus112,1.75,1.0,,Sun,0.0,solar
Solar 47,bus112,1.75,1.0,,Sun,0.0,solar
Solar 48,bus112,1.75,1.0,,Sun,0.0,solar
Solar 49,bus112,1.1,1.0,,Sun,0.0,solar
Solar 50,bus112,4.69,1.0,,Sun,0.0,solar
Solar 51,bus112,15.65,1.0,,Sun,0.0,solar
Solar 52,bus112,10.64,1.0,,Sun,0.0,solar
Solar 53,bus112,16.09,1.0,,Sun,0.0,solar
Solar 54,bus112,9.2,1.0,,Sun,0.0,solar
Solar 55,bus112,20.01,1.0,,Sun,0.0,solar
Solar 56,bus112,20.07,1.0,,Sun,0.0,solar
Solar 57,bus112,6.84,1.0,,Sun,0.0,solar
Solar 58,bus112,8.01,1.0,,Sun,0.0,solar
Solar 59,bus105,12.42,1.0,,Sun,0.0,solar
Solar 60,bus105,15.89,1.0,,Sun,0.0,solar
Solar 61,bus105,1.97,1.0,,Sun,0.0,solar
Solar 62,bus069,99.9,1.0,,Sun,0.0,solar
Solar 63,bus019,60.0,1.0,,Sun,0.0,solar
Solar 64,bus015,21.0,1.0,,Sun,0.0,solar
Solar 65,bus019,64.8,1.0,,Sun,0.0,solar
Solar 66,bus018,123.5,1.0,,Sun,0.0,solar
Solar 67,bus018,40.0,1.0,,Sun,0.0,solar
Solar 68,bus105,96.0,1.0,,Sun,0.0,solar
Solar 69,bus105,123.0,1.0,,Sun,0.0,solar
Solar 70,bus092,150.0,1.0,,Sun,0.0,solar
Solar 71,bus100,104.99,1.0,,Sun,0.0,solar
Solar 72,bus105,25.2,1.0,,Sun,0.0,solar
Solar 73,bus069,25.0,1.0,,Sun,0.0,solar
Solar 74,bus076,25.0,1.0,,Sun,0.0,solar
Solar 75,bus055,30.0,1.0,,Sun,0.0,solar
ST Coal 01,bus018,20.0,0.33554468577933,2.99,Coal,18.308574000000004,conventional
ST NG 01,bus070,320.0,0.3786310896615421,0.98,Natural gas,48.67543800000001,conventional
ST NG 02,bus072,325.0,0.3877061271610807,0.98,Natural gas,47.53609200000001,conventional
ST NG 03,bus025,712.0,0.3969233549892599,0.98,Natural gas,46.432224000000005,conventional
ST NG 04,bus019,62.6,0.797031662800133,0.98,Natural gas,23.12334000000001,conventional
ST NG 05,bus024,62.6,0.797031662800133,0.98,Natural gas,23.12334000000001,conventional
ST NG 06,bus092,110.25,0.34803381896127844,0.98,Natural gas,52.95472200000002,conventional
ST NG 07,bus092,110.25,0.34361149536039265,0.98,Natural gas,53.63625600000001,conventional
ST NG 08,bus092,306.0,0.3554750507258454,0.98,Natural gas,51.846210000000006,conventional
ST NG 09,bus092,345.6,0.3710793890102159,0.98,Natural gas,49.66601400000001,conventional
ST NG 10,bus105,106.25,0.3643310289723648,0.98,Natural gas,50.58595800000002,conventional
ST Other 01,bus024,4.6,0.2887640974307506,0.98,Oil,248.20383,conventional
ST Other 02,bus024,30.4,0.6097854713733161,1.91,Oil,117.53700000000002,conventional
Wind 01,bus024,11.5,1.0,,Wind,0.0,wind
Wind 02,bus024,38.0,1.0,,Wind,0.0,wind
Wind 03,bus024,10.0,1.0,,Wind,0.0,wind
Wind 04,bus024,5.0,1.0,,Wind,0.0,wind
Wind 05,bus024,1.1,1.0,,Wind,0.0,wind
Wind 06,bus027,24.1,1.0,,Wind,0.0,wind
Wind 07,bus027,16.6,1.0,,Wind,0.0,wind
Wind 08,bus027,16.6,1.0,,Wind,0.0,wind
Wind 09,bus027,16.6,1.0,,Wind,0.0,wind
Wind 10,bus027,16.6,1.0,,Wind,0.0,wind
Wind 11,bus027,16.6,1.0,,Wind,0.0,wind
Wind 12,bus031,97.5,1.0,,Wind,0.0,wind
Wind 13,bus031,58.7,1.0,,Wind,0.0,wind
Wind 14,bus100,400.0,1.0,,Wind,0.0,wind
Wind 15,bus082,50.0,1.0,,Wind,0.0,wind
Wind 16,bus082,149.5,1.0,,Wind,0.0,wind
Wind 17,bus082,149.5,1.0,,Wind,0.0,wind
